Birth Rate,Country,Country Name,Year,Fertility Rate,GDP (in USD),GDP원화_조단위,GDP달러_조단위
10.300,Canada,Canada,2017,1.55,1.64927e+12,2407.9,1.65
10.100,Canada,Canada,2018,1.51,1.72533e+12,2519,1.73
9.900,Canada,Canada,2019,1.47,1.74373e+12,2545.8,1.74
9.500,Canada,Canada,2020,1.41,1.65568e+12,2417.3,1.66
9.600,Canada,Canada,2021,1.43,2.02238e+12,2952.7,2.02
