Birth Rate,Country,Country Name,Year,Fertility Rate,GDP (in USD),GDP원화_조단위,GDP달러_조단위
22.664,Philippines,Philippines,2017,2.865,3.28481e+11,479.6,0.33
22.445,Philippines,Philippines,2018,2.831,3.46842e+11,506.4,0.35
22.254,Philippines,Philippines,2019,2.805,3.76823e+11,550.2,0.38
22.039,Philippines,Philippines,2020,2.777,3.61751e+11,528.2,0.36
21.813,Philippines,Philippines,2021,2.748,3.94087e+11,575.4,0.39
